,X,Age,Education,Marital.Status,Gender,Income
6275,6275,35,Higher Education,Married,Male,41.21246837
6276,6276,51,Higher Education,Married,Male,49.06507469
6277,6277,19,Higher Education,Not Married,Female,40.73882128
6278,6278,38,Higher Education,Not Married,Male,32.83822976
6279,6279,52,Higher Education,Married,Male,42.11086979
6280,6280,70,Higher Education,Married,Male,34.26223197
6281,6281,53,None Higher Education,Not Married,Male,76.64092483
6282,6282,59,Higher Education,Married,Male,38.70847807
6283,6283,39,Higher Education,Married,Male,36.08024562
6284,6284,18,None Higher Education,Not Married,Female,47.04060049
6285,6285,41,Higher Education,Not Married,Female,7.37920492
6286,6286,19,Higher Education,Not Married,Male,21.34403565
6287,6287,24,Higher Education,Not Married,Female,24.10339991
6288,6288,25,Higher Education,Not Married,Female,23.56899085
6289,6289,32,Higher Education,Not Married,Male,39.38765749
6290,6290,34,Higher Education,Married,Male,25.13613193
6291,6291,35,Higher Education,Not Married,Female,7.608199686
6292,6292,50,Higher Education,Married,Male,33.71265336
6293,6293,18,Higher Education,Not Married,Male,43.27240986
6294,6294,37,Higher Education,Not Married,Male,47.95605063
6295,6295,30,Higher Education,Not Married,Female,45.3209436
6296,6296,40,Higher Education,Married,Female,42.0197178
6297,6297,22,Higher Education,Not Married,Female,35.17015308
6298,6298,50,Higher Education,Not Married,Female,18.37136265
6299,6299,70,Higher Education,Not Married,Female,42.88619007
6300,6300,43,Higher Education,Married,Male,35.98709059
6301,6301,77,Higher Education,Not Married,Male,39.7400609
6302,6302,30,Higher Education,Married,Male,19.32079619
6303,6303,33,Higher Education,Married,Male,59.80455844
6304,6304,51,Higher Education,Married,Male,29.51979758
6305,6305,58,Higher Education,Married,Male,34.05195921
6306,6306,22,Higher Education,Not Married,Male,39.40205296
6307,6307,33,Higher Education,Married,Male,21.29530828
6308,6308,27,None Higher Education,Married,Male,38.62424667
6309,6309,35,Higher Education,Not Married,Male,42.51363437
6310,6310,32,Higher Education,Not Married,Female,17.12457912
6311,6311,41,None Higher Education,Married,Female,58.83168567
6312,6312,37,Higher Education,Married,Male,21.38991088
6313,6313,17,None Higher Education,Not Married,Male,44.66836613
6314,6314,50,None Higher Education,Not Married,Male,54.26826525
6315,6315,31,Higher Education,Married,Male,48.39263718
6316,6316,54,Higher Education,Not Married,Female,29.38140788
6317,6317,23,Higher Education,Not Married,Male,30.19652221
6318,6318,40,None Higher Education,Not Married,Female,38.91832763
6319,6319,29,None Higher Education,Married,Male,35.22399659
6320,6320,38,Higher Education,Married,Male,37.88365577
6321,6321,30,None Higher Education,Married,Male,56.89153449
6322,6322,20,Higher Education,Not Married,Male,26.24194949
6323,6323,43,Higher Education,Married,Male,32.53844294
6324,6324,25,Higher Education,Not Married,Male,27.20773419
6325,6325,39,Higher Education,Married,Male,26.68227465
6326,6326,48,None Higher Education,Married,Male,55.69401127
6327,6327,41,Higher Education,Not Married,Female,32.7748025
6328,6328,24,None Higher Education,Not Married,Male,24.18799892
6329,6329,20,Higher Education,Not Married,Male,21.64772007
6330,6330,25,Higher Education,Not Married,Female,42.12982536
6331,6331,57,Higher Education,Married,Male,33.66888598
6332,6332,39,Higher Education,Married,Female,35.74656418
6333,6333,66,None Higher Education,Married,Male,47.295185
6334,6334,34,Higher Education,Not Married,Female,25.89593691
6335,6335,36,None Higher Education,Not Married,Male,45.65298922
6336,6336,46,Higher Education,Married,Female,37.38786757
6337,6337,42,Higher Education,Not Married,Female,40.57794792
6338,6338,46,Higher Education,Married,Male,37.75604334
6339,6339,34,Higher Education,Not Married,Male,32.1122661
6340,6340,43,Higher Education,Married,Female,29.60574688
6341,6341,42,Higher Education,Not Married,Female,32.84796758
6342,6342,31,None Higher Education,Not Married,Male,35.09837629
6343,6343,70,Higher Education,Married,Male,31.03255678
6344,6344,32,Higher Education,Married,Male,25.92098873
6345,6345,46,Higher Education,Married,Male,45.88754846
6346,6346,42,None Higher Education,Not Married,Male,42.3084712
6347,6347,21,None Higher Education,Not Married,Male,63.30710035
6348,6348,24,None Higher Education,Not Married,Female,41.17877441
6349,6349,23,Higher Education,Not Married,Male,43.29872187
6350,6350,50,Higher Education,Married,Male,27.9850488
6351,6351,37,Higher Education,Not Married,Female,40.10876933
6352,6352,19,None Higher Education,Not Married,Female,37.72874034
6353,6353,44,None Higher Education,Married,Male,51.09381795
6354,6354,29,Higher Education,Married,Male,46.07151199
6355,6355,30,None Higher Education,Married,Female,50.96676781
6356,6356,36,Higher Education,Married,Male,38.78784031
6357,6357,49,None Higher Education,Not Married,Male,45.89031401
6358,6358,29,Higher Education,Not Married,Male,38.67658976
6359,6359,45,Higher Education,Not Married,Female,37.2264414
6360,6360,75,Higher Education,Married,Male,25.40374808
6361,6361,42,Higher Education,Not Married,Female,20.68811318
6362,6362,37,None Higher Education,Not Married,Female,47.72351137
6363,6363,51,None Higher Education,Married,Male,54.01471785
6364,6364,61,Higher Education,Married,Male,21.13636364
6365,6365,33,None Higher Education,Not Married,Female,51.54442108
6366,6366,50,Higher Education,Married,Male,15.83809043
6367,6367,59,Higher Education,Not Married,Male,32.62271983
6368,6368,25,Higher Education,Not Married,Female,19.25396186
6369,6369,22,Higher Education,Not Married,Male,28.09912651
6370,6370,56,Higher Education,Married,Male,33.84380727
6371,6371,44,None Higher Education,Not Married,Female,54.20159958
6372,6372,35,None Higher Education,Married,Male,39.79819928
6373,6373,57,Higher Education,Not Married,Male,44.39985885
6374,6374,47,Higher Education,Married,Male,10.79029795
6375,6375,27,None Higher Education,Not Married,Female,64.6102389
6376,6376,50,Higher Education,Married,Male,41.46823282
6377,6377,30,None Higher Education,Not Married,Male,60.71347451
6378,6378,46,None Higher Education,Married,Male,42.0569905
6379,6379,48,Higher Education,Married,Male,60.79897105
6380,6380,61,None Higher Education,Not Married,Male,26.92908554
6381,6381,33,Higher Education,Not Married,Male,22.67678418
6382,6382,40,Higher Education,Married,Male,43.53380314
6383,6383,58,Higher Education,Married,Male,6.306551596
6384,6384,46,Higher Education,Married,Male,31.66003381
6385,6385,35,Higher Education,Married,Male,19.0550836
6386,6386,51,Higher Education,Not Married,Female,20.57141008
6387,6387,37,None Higher Education,Not Married,Female,37.62517113
6388,6388,64,Higher Education,Married,Male,12.45708834
6389,6389,41,Higher Education,Not Married,Male,40.30137058
6390,6390,18,None Higher Education,Not Married,Male,59.5660655
6391,6391,44,None Higher Education,Married,Male,62.7972576
6392,6392,41,None Higher Education,Married,Female,49.0522325
6393,6393,33,Higher Education,Not Married,Male,32.67167831
6394,6394,37,None Higher Education,Not Married,Female,54.27822479
6395,6395,34,Higher Education,Not Married,Female,20.49759805
6396,6396,24,None Higher Education,Not Married,Female,60.01727762
6397,6397,20,Higher Education,Not Married,Male,36.02038241
6398,6398,38,None Higher Education,Married,Male,51.30227153
6399,6399,28,None Higher Education,Not Married,Female,41.32553906
6400,6400,20,Higher Education,Not Married,Male,30.49069046
6401,6401,22,None Higher Education,Not Married,Male,38.23368766
6402,6402,55,None Higher Education,Not Married,Female,44.83108864
6403,6403,20,Higher Education,Not Married,Male,50.3566387
6404,6404,26,None Higher Education,Not Married,Female,68.36950471
6405,6405,20,Higher Education,Not Married,Male,36.81548362
6406,6406,40,None Higher Education,Not Married,Female,54.791864
6407,6407,33,Higher Education,Married,Male,21.01288711
6408,6408,54,Higher Education,Not Married,Male,14.70535776
6409,6409,24,Higher Education,Not Married,Female,24.8818011
6410,6410,25,Higher Education,Not Married,Male,34.69210647
6411,6411,18,None Higher Education,Not Married,Male,41.80141983
6412,6412,49,Higher Education,Married,Male,6.427179667
6413,6413,17,None Higher Education,Not Married,Male,31.07019585
6414,6414,34,None Higher Education,Married,Male,34.46839954
6415,6415,37,None Higher Education,Married,Male,59.98227361
6416,6416,49,Higher Education,Married,Male,20.07699639
6417,6417,74,Higher Education,Not Married,Female,23.86098759
6418,6418,37,Higher Education,Not Married,Male,24.20740429
6419,6419,20,None Higher Education,Married,Male,57.69749874
6420,6420,40,Higher Education,Married,Female,25.7589227
6421,6421,34,None Higher Education,Not Married,Male,42.50567077
6422,6422,30,Higher Education,Married,Male,6.56339673
6423,6423,44,Higher Education,Not Married,Female,16.83050877
6424,6424,40,None Higher Education,Married,Female,58.42731148
6425,6425,58,Higher Education,Married,Female,43.68233502
6426,6426,44,Higher Education,Married,Male,15.46816455
6427,6427,42,Higher Education,Married,Male,33.65083338
6428,6428,39,Higher Education,Not Married,Male,18.54606963
6429,6429,19,Higher Education,Not Married,Male,23.32277373
6430,6430,41,Higher Education,Married,Male,32.25389325
6431,6431,29,Higher Education,Not Married,Male,43.75442663
6432,6432,34,Higher Education,Not Married,Male,44.77746461
6433,6433,38,Higher Education,Married,Male,31.94403371
6434,6434,27,Higher Education,Married,Male,29.39875501
6435,6435,54,Higher Education,Not Married,Female,23.96592873
6436,6436,40,Higher Education,Not Married,Female,12.19915778
6437,6437,19,Higher Education,Not Married,Female,16.90149895
6438,6438,17,None Higher Education,Not Married,Male,48.67375674
6439,6439,33,Higher Education,Married,Male,29.34252382
6440,6440,80,None Higher Education,Not Married,Female,68.06449909
6441,6441,24,Higher Education,Not Married,Male,23.83194093
6442,6442,28,None Higher Education,Not Married,Male,58.77362054
6443,6443,55,Higher Education,Married,Female,22.48248501
6444,6444,21,Higher Education,Not Married,Male,30.74029115
6445,6445,51,Higher Education,Not Married,Female,33.0877817
6446,6446,19,Higher Education,Not Married,Female,22.35842137
6447,6447,42,Higher Education,Not Married,Female,42.92237913
6448,6448,60,Higher Education,Married,Male,19.82106362
6449,6449,20,Higher Education,Not Married,Female,26.40083522
6450,6450,51,Higher Education,Not Married,Female,58.23453206
6451,6451,21,Higher Education,Not Married,Female,37.251817
6452,6452,37,Higher Education,Married,Male,27.5520557
6453,6453,26,Higher Education,Not Married,Male,27.38979283
6454,6454,42,Higher Education,Not Married,Female,36.16344197
6455,6455,40,Higher Education,Married,Male,21.41551489
6456,6456,55,Higher Education,Married,Male,43.77824843
6457,6457,33,Higher Education,Not Married,Male,9.951895389
6458,6458,62,Higher Education,Married,Male,28.41744606
6459,6459,47,None Higher Education,Not Married,Female,46.34074516
6460,6460,26,None Higher Education,Not Married,Male,46.17154575
6461,6461,59,Higher Education,Married,Female,14.31078051
6462,6462,70,Higher Education,Not Married,Female,23.19774146
6463,6463,26,Higher Education,Not Married,Female,33.60435725
6464,6464,47,None Higher Education,Married,Male,52.35208062
6465,6465,25,Higher Education,Not Married,Female,37.14732487
6466,6466,52,Higher Education,Married,Male,23.90222879
6467,6467,46,Higher Education,Married,Male,15.09399558
6468,6468,67,None Higher Education,Married,Male,64.71680779
6469,6469,34,Higher Education,Married,Male,44.55078443
6470,6470,53,Higher Education,Not Married,Female,35.28123462
6471,6471,22,None Higher Education,Not Married,Female,58.83252536
6472,6472,39,Higher Education,Not Married,Male,13.0049388
6473,6473,54,Higher Education,Married,Male,27.22884599
6474,6474,24,None Higher Education,Married,Male,65.98327399
6475,6475,37,Higher Education,Not Married,Female,22.44021473
6476,6476,38,None Higher Education,Not Married,Male,49.20922274
6477,6477,41,Higher Education,Not Married,Female,24.03962083
6478,6478,36,Higher Education,Married,Male,41.69188807
6479,6479,43,None Higher Education,Married,Male,51.26875344
6480,6480,39,None Higher Education,Not Married,Male,39.19093602
6481,6481,26,None Higher Education,Not Married,Male,47.89916333
6482,6482,49,Higher Education,Not Married,Female,36.09242655
6483,6483,37,None Higher Education,Married,Male,52.26898696
6484,6484,43,Higher Education,Married,Male,35.64605736
6485,6485,54,Higher Education,Married,Male,37.12706716
6486,6486,53,None Higher Education,Married,Male,55.89196883
6487,6487,57,Higher Education,Married,Male,49.53206035
6488,6488,28,None Higher Education,Married,Male,62.27867382
6489,6489,29,None Higher Education,Married,Male,50.45097125
6490,6490,21,Higher Education,Not Married,Male,28.85174541
6491,6491,51,Higher Education,Married,Male,46.45073728
6492,6492,46,Higher Education,Married,Male,18.29715886
6493,6493,50,Higher Education,Married,Male,33.93979308
6494,6494,50,Higher Education,Not Married,Female,29.78308905
6495,6495,36,Higher Education,Not Married,Female,28.65290281
6496,6496,31,None Higher Education,Married,Male,43.37060304
6497,6497,20,Higher Education,Not Married,Female,36.24140338
6498,6498,36,Higher Education,Married,Male,18.71653649
6499,6499,38,Higher Education,Not Married,Male,24.47589443
6500,6500,37,None Higher Education,Married,Male,51.11713395
6501,6501,39,Higher Education,Married,Male,50.00861103
6502,6502,18,None Higher Education,Not Married,Male,55.180585
6503,6503,33,Higher Education,Not Married,Male,20.39514171
6504,6504,35,Higher Education,Not Married,Female,8.144746036
6505,6505,23,Higher Education,Not Married,Male,7.99600573
6506,6506,37,None Higher Education,Not Married,Female,29.30664444
6507,6507,25,Higher Education,Married,Male,36.21004685
6508,6508,51,None Higher Education,Married,Male,43.3591614
6509,6509,35,Higher Education,Married,Male,32.1954234
6510,6510,54,None Higher Education,Married,Male,40.45796622
6511,6511,66,Higher Education,Married,Male,30.73666025
6512,6512,32,Higher Education,Not Married,Female,29.46527123
6513,6513,37,None Higher Education,Not Married,Male,46.7012106
6514,6514,29,None Higher Education,Married,Male,53.05538732
6515,6515,45,None Higher Education,Married,Male,57.82471588
6516,6516,61,Higher Education,Married,Male,23.07878272
6517,6517,40,Higher Education,Not Married,Female,24.40683248
6518,6518,24,Higher Education,Not Married,Female,16.14551586
6519,6519,49,None Higher Education,Married,Male,24.49794507
6520,6520,51,Higher Education,Not Married,Male,21.68147408
6521,6521,34,Higher Education,Married,Male,12.93966127
6522,6522,28,Higher Education,Not Married,Female,40.74915012
6523,6523,20,Higher Education,Not Married,Male,37.60837866
6524,6524,30,Higher Education,Not Married,Female,45.16742505
6525,6525,49,Higher Education,Not Married,Male,34.80274846
6526,6526,26,Higher Education,Not Married,Male,18.08706704
6527,6527,63,None Higher Education,Married,Male,43.23817181
6528,6528,36,None Higher Education,Not Married,Male,62.15522898
6529,6529,63,None Higher Education,Married,Male,53.00135972
6530,6530,22,Higher Education,Not Married,Female,42.4464262
6531,6531,40,Higher Education,Married,Male,31.82464064
6532,6532,31,None Higher Education,Not Married,Female,30.76124972
6533,6533,49,Higher Education,Married,Male,26.41683273
6534,6534,35,Higher Education,Not Married,Male,32.21820388
6535,6535,23,None Higher Education,Not Married,Female,51.63477286
6536,6536,25,None Higher Education,Not Married,Male,62.0528489
6537,6537,34,Higher Education,Married,Male,34.46072179
6538,6538,28,None Higher Education,Married,Male,51.19796858
6539,6539,44,Higher Education,Not Married,Male,29.20514489
6540,6540,33,Higher Education,Not Married,Male,39.49819578
6541,6541,21,Higher Education,Not Married,Male,44.3768646
6542,6542,55,None Higher Education,Married,Male,68.86055146
6543,6543,17,None Higher Education,Not Married,Female,42.67967311
6544,6544,75,Higher Education,Not Married,Male,23.60962534
6545,6545,61,None Higher Education,Not Married,Female,62.23554746
6546,6546,53,Higher Education,Not Married,Female,33.7924443
6547,6547,26,None Higher Education,Married,Male,60.87114012
6548,6548,48,Higher Education,Not Married,Male,36.81646063
6549,6549,28,Higher Education,Married,Male,26.44203401
6550,6550,30,None Higher Education,Not Married,Female,42.22295903
6551,6551,29,Higher Education,Married,Male,30.37957261
6552,6552,25,Higher Education,Not Married,Female,29.44677172
6553,6553,37,Higher Education,Married,Male,33.55629807
6554,6554,43,None Higher Education,Not Married,Female,60.40677207
6555,6555,40,Higher Education,Married,Male,53.09170352
6556,6556,34,None Higher Education,Married,Male,29.98820236
6557,6557,55,Higher Education,Married,Male,38.50944865
6558,6558,31,None Higher Education,Not Married,Male,64.65884417
6559,6559,21,Higher Education,Not Married,Female,41.90284777
6560,6560,32,Higher Education,Married,Male,28.4770222
6561,6561,26,Higher Education,Not Married,Male,27.65478472
6562,6562,26,None Higher Education,Married,Male,47.36858804
6563,6563,44,Higher Education,Married,Male,19.31336598
6564,6564,49,Higher Education,Married,Male,25.75078928
6565,6565,21,Higher Education,Not Married,Female,31.4698476
6566,6566,26,Higher Education,Not Married,Female,20.85565059
6567,6567,40,Higher Education,Married,Male,12.26582035
6568,6568,19,None Higher Education,Not Married,Female,56.70817838
6569,6569,58,Higher Education,Married,Male,11.69958783
6570,6570,61,None Higher Education,Married,Male,51.78896669
6571,6571,28,Higher Education,Married,Male,21.85661089
6572,6572,26,None Higher Education,Not Married,Male,46.45632485
6573,6573,64,Higher Education,Not Married,Female,27.66638066
6574,6574,42,None Higher Education,Married,Male,50.06997256
6575,6575,41,Higher Education,Married,Male,19.13148317
6576,6576,45,Higher Education,Not Married,Male,24.81059103
6577,6577,39,None Higher Education,Married,Male,58.65475928
6578,6578,41,Higher Education,Married,Male,46.75266863
6579,6579,51,None Higher Education,Not Married,Female,57.75014448
6580,6580,34,None Higher Education,Not Married,Female,64.89659799
6581,6581,33,Higher Education,Married,Male,45.54712607
6582,6582,23,Higher Education,Not Married,Male,40.22231124
6583,6583,35,Higher Education,Married,Male,44.21965815
6584,6584,41,None Higher Education,Not Married,Female,45.83807323
6585,6585,39,Higher Education,Not Married,Female,31.32939915
6586,6586,41,Higher Education,Married,Male,48.15717024
6587,6587,33,Higher Education,Married,Male,27.65330023
6588,6588,22,Higher Education,Not Married,Male,28.97483908
6589,6589,25,Higher Education,Not Married,Female,49.19122666
6590,6590,25,Higher Education,Not Married,Female,27.02691278
6591,6591,77,None Higher Education,Married,Male,55.28568234
6592,6592,33,None Higher Education,Not Married,Female,43.18252325
6593,6593,66,Higher Education,Not Married,Female,19.96861426
6594,6594,19,Higher Education,Not Married,Male,11.64274624
6595,6595,44,Higher Education,Not Married,Female,44.49650108
6596,6596,45,Higher Education,Not Married,Female,32.75529819
6597,6597,28,Higher Education,Not Married,Male,40.70326307
6598,6598,19,Higher Education,Not Married,Male,30.52260495
6599,6599,43,Higher Education,Married,Male,10.29122619
6600,6600,39,None Higher Education,Married,Male,53.45669845
6601,6601,33,None Higher Education,Married,Male,64.02118817
6602,6602,44,Higher Education,Married,Female,45.06168428
6603,6603,62,None Higher Education,Not Married,Female,47.08867853
6604,6604,40,Higher Education,Married,Male,35.67231591
6605,6605,41,Higher Education,Not Married,Male,20.22757608
6606,6606,23,Higher Education,Not Married,Male,34.74586402
6607,6607,48,Higher Education,Married,Male,38.77725148
6608,6608,38,Higher Education,Married,Male,34.91260613
6609,6609,37,Higher Education,Married,Male,11.79366481
6610,6610,45,Higher Education,Married,Male,8.747526544
6611,6611,29,Higher Education,Married,Male,49.39923471
6612,6612,66,Higher Education,Not Married,Female,26.23940031
6613,6613,19,Higher Education,Not Married,Female,17.37483892
6614,6614,23,None Higher Education,Not Married,Male,71.96872836
6615,6615,34,None Higher Education,Married,Male,44.23075968
6616,6616,39,Higher Education,Not Married,Female,38.25305919
6617,6617,33,Higher Education,Not Married,Male,-4.174526824
6618,6618,43,Higher Education,Not Married,Female,29.31335837
6619,6619,27,Higher Education,Married,Male,17.28552713
6620,6620,33,Higher Education,Not Married,Male,22.27839816
6621,6621,26,None Higher Education,Married,Male,57.89759421
6622,6622,56,Higher Education,Not Married,Male,28.97697891
6623,6623,46,Higher Education,Married,Male,44.61309363
6624,6624,38,None Higher Education,Not Married,Female,43.36653596
6625,6625,90,None Higher Education,Married,Male,49.90890849
6626,6626,72,Higher Education,Married,Male,34.47831081
6627,6627,20,Higher Education,Not Married,Female,17.23872365
6628,6628,29,Higher Education,Married,Male,27.59158806
6629,6629,49,None Higher Education,Married,Male,61.09367869
6630,6630,23,Higher Education,Not Married,Female,35.57690354
6631,6631,20,Higher Education,Married,Female,35.41686466
6632,6632,57,None Higher Education,Married,Male,23.33454474
6633,6633,46,None Higher Education,Not Married,Female,48.46453307
6634,6634,33,None Higher Education,Married,Male,48.6678209
6635,6635,24,None Higher Education,Not Married,Male,62.55746326
6636,6636,49,None Higher Education,Married,Male,49.30910938
6637,6637,54,Higher Education,Married,Male,24.18895173
6638,6638,46,Higher Education,Not Married,Female,22.07270732
6639,6639,31,None Higher Education,Married,Male,38.50773834
6640,6640,43,Higher Education,Married,Male,23.42252158
6641,6641,18,Higher Education,Not Married,Female,14.20389643
6642,6642,19,Higher Education,Not Married,Male,38.7986777
6643,6643,46,None Higher Education,Not Married,Male,34.76230655
6644,6644,43,None Higher Education,Not Married,Male,52.78893094
6645,6645,58,Higher Education,Not Married,Male,24.22405676
6646,6646,43,Higher Education,Married,Male,50.11774315
6647,6647,37,Higher Education,Not Married,Male,35.34070167
6648,6648,21,None Higher Education,Not Married,Male,59.1076319
6649,6649,52,Higher Education,Not Married,Male,48.96168181
6650,6650,34,None Higher Education,Married,Male,58.03257379
6651,6651,28,None Higher Education,Not Married,Female,67.19725061
6652,6652,34,Higher Education,Not Married,Male,45.49829154
6653,6653,29,Higher Education,Married,Male,37.11429623
6654,6654,39,Higher Education,Married,Male,31.60000088
6655,6655,49,None Higher Education,Not Married,Female,42.7335868
6656,6656,35,Higher Education,Married,Male,23.28547561
6657,6657,31,Higher Education,Not Married,Female,19.86147985
6658,6658,18,Higher Education,Not Married,Male,31.94855242
6659,6659,47,Higher Education,Married,Male,33.24045681
6660,6660,46,Higher Education,Married,Male,17.98807404
6661,6661,43,None Higher Education,Married,Male,65.22923924
6662,6662,51,Higher Education,Married,Male,38.66608131
6663,6663,21,Higher Education,Not Married,Female,37.14609379
6664,6664,18,Higher Education,Not Married,Male,39.27170355
6665,6665,31,None Higher Education,Married,Female,32.30164419
6666,6666,39,Higher Education,Married,Male,30.22594397
6667,6667,58,None Higher Education,Married,Male,43.40642874
6668,6668,36,Higher Education,Not Married,Female,25.29808193
6669,6669,38,Higher Education,Married,Female,22.21887925
6670,6670,31,None Higher Education,Married,Female,41.77534874
6671,6671,19,None Higher Education,Not Married,Male,55.10766931
6672,6672,38,None Higher Education,Not Married,Female,55.56067808
6673,6673,26,None Higher Education,Not Married,Female,36.93127099
6674,6674,38,None Higher Education,Not Married,Female,58.69888166
6675,6675,36,Higher Education,Married,Male,22.7055795
6676,6676,40,Higher Education,Married,Male,30.65708729
6677,6677,25,None Higher Education,Not Married,Male,58.36611191
6678,6678,41,None Higher Education,Married,Female,54.36272115
6679,6679,33,Higher Education,Not Married,Male,20.12598119
6680,6680,63,Higher Education,Married,Male,42.61441245
6681,6681,51,Higher Education,Married,Male,14.7741809
6682,6682,34,Higher Education,Married,Male,40.64445494
6683,6683,33,None Higher Education,Not Married,Male,66.11806267
6684,6684,25,None Higher Education,Married,Male,41.88361281
6685,6685,30,Higher Education,Not Married,Male,29.1587734
6686,6686,19,Higher Education,Not Married,Male,34.2121555
6687,6687,47,Higher Education,Married,Female,31.65305841
6688,6688,26,None Higher Education,Not Married,Female,43.2798935
6689,6689,21,Higher Education,Not Married,Female,20.18190177
6690,6690,36,Higher Education,Married,Male,31.13193373
6691,6691,60,None Higher Education,Married,Male,41.59652725
6692,6692,28,Higher Education,Not Married,Male,37.53784689
6693,6693,19,Higher Education,Not Married,Female,27.36575722
6694,6694,42,None Higher Education,Married,Male,42.90310387
6695,6695,36,Higher Education,Not Married,Female,31.87416341
6696,6696,35,Higher Education,Married,Female,34.36995709
6697,6697,22,Higher Education,Not Married,Female,42.46024282
6698,6698,54,Higher Education,Married,Male,27.93479396
6699,6699,36,None Higher Education,Married,Male,51.05731263
6700,6700,55,Higher Education,Married,Male,17.75845291
6701,6701,57,Higher Education,Married,Male,4.460670051
6702,6702,56,None Higher Education,Married,Male,47.03956817
6703,6703,24,Higher Education,Married,Male,33.82148986
6704,6704,35,None Higher Education,Married,Male,61.44724888
6705,6705,51,None Higher Education,Not Married,Male,32.08969244
6706,6706,34,Higher Education,Not Married,Male,34.85180203
6707,6707,36,None Higher Education,Not Married,Female,47.75207086
6708,6708,51,None Higher Education,Not Married,Female,38.10176434
6709,6709,46,Higher Education,Married,Male,27.9715452
6710,6710,42,Higher Education,Not Married,Female,41.91242079
6711,6711,25,None Higher Education,Not Married,Female,56.87594927
6712,6712,22,Higher Education,Not Married,Male,11.12034393
6713,6713,37,Higher Education,Married,Male,33.09308074
6714,6714,48,None Higher Education,Not Married,Male,46.72745045
6715,6715,61,None Higher Education,Married,Male,53.61619421
6716,6716,40,None Higher Education,Married,Male,26.18449739
6717,6717,58,Higher Education,Married,Female,37.61832365
6718,6718,52,Higher Education,Married,Male,31.11673218
6719,6719,18,None Higher Education,Not Married,Male,42.14131932
6720,6720,27,None Higher Education,Married,Male,39.04608137
6721,6721,48,Higher Education,Married,Male,36.40828141
6722,6722,63,None Higher Education,Married,Male,50.4399799
6723,6723,38,Higher Education,Married,Male,21.26561088
6724,6724,31,Higher Education,Married,Male,39.95107115
6725,6725,40,Higher Education,Married,Male,16.22990857
6726,6726,41,Higher Education,Not Married,Male,20.89929511
6727,6727,28,None Higher Education,Not Married,Female,50.53375107
6728,6728,31,Higher Education,Not Married,Male,46.18687086
6729,6729,32,None Higher Education,Married,Male,51.57139037
6730,6730,30,Higher Education,Not Married,Male,40.0117993
6731,6731,39,Higher Education,Not Married,Male,22.18786519
6732,6732,28,None Higher Education,Married,Male,66.43512599
6733,6733,31,Higher Education,Not Married,Female,17.68038578
6734,6734,21,Higher Education,Not Married,Male,19.61266774
6735,6735,33,Higher Education,Not Married,Female,15.15494912
6736,6736,44,Higher Education,Married,Male,20.01866671
6737,6737,22,Higher Education,Not Married,Male,40.24274444
6738,6738,42,Higher Education,Married,Male,52.8701867
6739,6739,36,None Higher Education,Married,Male,41.10355035
6740,6740,39,Higher Education,Not Married,Male,40.72336061
6741,6741,61,Higher Education,Married,Male,30.41140247
6742,6742,31,Higher Education,Not Married,Male,24.68041762
6743,6743,21,Higher Education,Not Married,Female,33.28172855
6744,6744,39,Higher Education,Married,Male,35.40398193
6745,6745,34,Higher Education,Married,Male,36.27223247
6746,6746,21,Higher Education,Not Married,Male,25.96009104
6747,6747,75,None Higher Education,Not Married,Male,60.52792513
6748,6748,21,Higher Education,Not Married,Male,13.14914202
6749,6749,81,Higher Education,Married,Male,64.36553338
6750,6750,54,Higher Education,Not Married,Male,30.81652421
6751,6751,34,None Higher Education,Married,Male,31.74444973
6752,6752,54,Higher Education,Married,Male,27.39429599
6753,6753,41,Higher Education,Married,Male,30.36441515
6754,6754,61,None Higher Education,Not Married,Female,53.06104104
6755,6755,63,Higher Education,Married,Male,40.28038543
6756,6756,24,Higher Education,Not Married,Male,30.84046846
6757,6757,20,Higher Education,Married,Female,42.21935386
6758,6758,44,None Higher Education,Not Married,Female,36.96694915
6759,6759,47,None Higher Education,Married,Male,40.13944331
6760,6760,31,Higher Education,Married,Male,34.98261822
6761,6761,41,None Higher Education,Not Married,Male,47.33879421
6762,6762,53,Higher Education,Married,Male,34.76054986
6763,6763,63,Higher Education,Married,Female,12.85955469
6764,6764,44,Higher Education,Married,Male,51.12334126
6765,6765,37,Higher Education,Married,Male,13.87363009
6766,6766,28,Higher Education,Married,Male,30.78641457
6767,6767,71,Higher Education,Married,Male,29.08986074
6768,6768,57,Higher Education,Not Married,Female,27.93597498
6769,6769,22,Higher Education,Not Married,Male,33.63797247
6770,6770,33,None Higher Education,Married,Male,26.66043503
6771,6771,30,Higher Education,Not Married,Female,44.83685985
6772,6772,20,Higher Education,Not Married,Male,41.50169472
6773,6773,28,None Higher Education,Not Married,Female,62.60792333
6774,6774,54,None Higher Education,Not Married,Female,55.2035247
6775,6775,20,Higher Education,Not Married,Male,12.41578962
6776,6776,34,Higher Education,Married,Male,36.53718509
6777,6777,21,Higher Education,Not Married,Male,24.46844556
6778,6778,29,Higher Education,Not Married,Female,46.56603472
6779,6779,51,Higher Education,Not Married,Female,39.57443554
6780,6780,39,Higher Education,Not Married,Female,40.39509593
6781,6781,19,Higher Education,Not Married,Female,17.94724198
6782,6782,22,Higher Education,Not Married,Male,24.19318302
6783,6783,59,Higher Education,Not Married,Female,33.8639653
6784,6784,18,None Higher Education,Not Married,Male,67.29776513
